Name,Labels
(I Cant Get No) Satisfaction_clean.wav,0
Ajab Si_clean.wav,0
Ajib Dastan Hai Yeh_clean.wav,1
All Along The Watchtower_clean.wav,0
All of Me_clean.wav,0
And So It Goes_clean.wav,1
Anjaana Anjaani Ki Kahani_clean.wav,0
At Last_clean.wav,1
Billie Jean_clean.wav,2
Bitter Sweet Symphony_clean.wav,0
Bohemian Rhapsody_clean.wav,0
Californication_clean.wav,0
Call Me Maybe_clean.wav,2
Channa Mereya_clean.wav,0
Come As You Are_clean.wav,0
Dont Let Me Down_clean.wav,0
Elvis Presley_clean.wav,0
Gimme Shelter_clean.wav,1
Gold on the Ceiling_clean.wav,0
Good Vibrations_clean.wav,0
Hakuna Matata_clean.wav,0
Hedwigs Theme_clean.wav,1
Hey Jude [blank]_clean.wav,0
Highway to Hell_clean.wav,2
Hothon Se Chhulo Tum_clean.wav,1
Humsafar_clean.wav,0
I Have Nothing_clean.wav,0
I Wanna Dance With Somebody_clean.wav,2
I Will Always Love You_clean.wav,1
Im Yours_clean.wav,0
In the End_clean.wav,0
Its My Life_clean.wav,1
Just the Way You Are_clean.wav,0
Lag Jaa Gale_clean.wav,1
Let Her Go_clean.wav,0
Let It Go_clean.wav,1
Like a Prayer_clean.wav,2
Love Me Like You Do_clean.wav,0
Maana Ke Hum Yaar Nahin_clean.wav,2
Mamma Mia Video_clean.wav,0
Mrs Robinson (Audio)_clean.wav,0
My Way_clean.wav,1
Nazm Nazm_clean.wav,0
Never Gonna Give You Up_clean.wav,2
Numb_clean.wav,0
Paint It Black_clean.wav,0
Paradise City_clean.wav,0
Pee Loon_clean.wav,0
Perfect_clean.wav,0
Pink Panther Theme_clean.wav,0
Poison_clean.wav,0
Radioactive_clean.wav,0
Rock And Roll Hoochie Koo_clean.wav,0
Rock n Roll_clean.wav,2
Saibo_clean.wav,2
Save the last dance for me_clean.wav,0
Scream & Shout_clean.wav,0
Shape of You_clean.wav,0
Singin in the Rain_clean.wav,1
Single Ladies_clean.wav,2
Smells Like Teen Spirit_clean.wav,0
Someone Like You_clean.wav,1
Song 2_clean.wav,0
Stand By Me_clean.wav,1
Stay With Me_clean.wav,1
Still DRE_clean.wav,2
Subhanallah_clean.wav,2
Sugar_clean.wav,0
Summer of 69_clean.wav,0
Sweet Child O Mine_clean.wav,0
The Imperial March_clean.wav,1
Thinking out Loud_clean.wav,0
This Is Me_clean.wav,0
Thriller_clean.wav,0
Turn! Turn! Turn!_clean.wav,0
Unchained Melody_clean.wav,0
Viva la Vida_clean.wav,1
What A Wonderful World_clean.wav,1
Africa_clean.wav,0
Alag Aasmaan_clean.wav,1
End of Beginning_clean.wav,0
Gangnam Style_clean.wav,2
Gulabi Aankhen_clean.wav,0
Hai Apna Dil To Aawara_clean.wav,0
Hips Dont Lie_clean.wav,0
Ikk Kudi_clean.wav,0
Karma Police_clean.wav,0
Rap God_clean.wav,0
Runaway-Arora_clean.wav,1
Runaway-Kanye_clean.wav,1
Take Me Home Country Roads_clean.wav,0
Taki Taki_clean.wav,0
Waka Waka_clean.wav,0
Zombie_clean.wav,2
lovely_clean.wav,1
